"active","pathotype","strain","LB_1","LB_2","LB_3","TSB_1","TSB_2","TSB_3","BHI_1","BHI_2","BHI_3","M63_1","M63_2","M63_3"
"W1","UPEC",5254,0.1134,0.054,0.0831,0.0514,0.0425,0.059,0.1833,0.0349,0.0502,0.0897,0.0629,0.039
"W1","UPEC",5255,0.066,0.052,0.0197,0.0784,0.0449,0.0567,0.103,0.0504,0.0701,0.0197,0.0193,0.0164
"W1","UPEC",5256,0.0472,0.0174,0.0211,0.0354,0.0166,0.0208,0.0495,0.0224,0.0379,0.0034,0.0292,0.0417
"W1","UPEC",5257,0.0286,0.0143,0.0221,0.0538,0.0122,0.0179,0.0242,0.0169,0.0223,0.0276,0.0137,0.0193
"W1","ETEC",5200,0.033,0.0534,0.0089,0.0334,0.021,0.0125,0.0442,0.019,0.027,0.0085,0.0091,0.024
"W1","ETEC",5201,0.0159,0.0125,0.0062,0.0138,0.0151,0.0066,0.0258,0.0149,0.0138,0.0275,0.0879,0.0565
"W1","ETEC",5202,0.0163,0.0109,0.0085,0.0166,0.0112,0.0126,0.0554,0.0128,0.0203,0.0011,0.0108,0.0038
"W1","ETEC",5203,0.0017,0.0104,0.0129,0.0279,0.0102,0.0454,0.0716,0.0152,0.0555,-0.0016,0.0125,0.008
"W1","ETEC",5204,0.0217,0.0258,0.0128,0.0206,0.0214,0.0145,0.0273,0.0256,0.0148,0.0538,0.0283,0.0937
"W1","ETEC",5205,0.0212,0.0331,0.0165,0.0321,0.0273,0.0213,0.0291,0.0324,0.0213,0.0328,0.0287,0.0687
"W1","ETEC",5206,0.0096,0.0134,0.006,0.0138,0.0117,0.0076,0.0213,0.0213,0.0235,0.0082,0.0042,0.0044
"W1","ETEC",5286,0.0124,0.0125,0.0049,0.014,0.019,0.0076,0.0413,0.0201,0.0126,0.0051,0.0296,0.0085
"W1","ETEC",5287,0.0143,0.0209,0.0101,0.004,0.0142,0.0087,0.0069,0.072,0.0331,9e-04,0.0138,0.014
"W1","ETEC",5288,0.0805,0.0344,0.0119,0.1144,0.0338,0.0227,0.1414,0.0483,0.0457,0.0472,0.043,0.0222
"W1","ETEC",5637,0.0537,0.0177,0.0127,0.051,0.0139,0.0245,0.0717,0.0286,0.0265,0.0611,0.0338,0.0799
