"active","pathotype","strain","LB_1","LB_2","LB_3","TSB_1","TSB_2","TSB_3","BHI_1","BHI_2","BHI_3","M63_1","M63_2","M63_3"
"W2","HFEC",5532,0.0236,0.0307,0.0373,0.0453,0.0034,0.0425,0.0986,0.086,0.1291,0.0091,0.0295,0.0085
"W2","HFEC",5535,0.0028,0.0171,0.0082,0.0073,0.0418,0.0091,0.016,0.0312,0.0284,0.0061,0.0032,0.0037
"W2","HFEC",5536,0.0031,0.0186,0.0137,0.0055,0.016,0.0238,0.0168,0.03,0.0436,0.0056,0.0233,0.0215
"W2","HFEC",5537,0.0096,0.0091,0.0229,0.012,0.0192,0.0266,0.0081,0.0102,0.0418,0.0134,0.0479,0.0216
"W2","HFEC",5538,0.0112,0.0591,0.0065,0.0058,0.0063,0.0079,0.0107,0.0206,0.0097,0.0018,0.0023,0.0029
"W2","HFEC",5539,0.0103,0.0175,0.0117,0.0212,0.0491,0.0158,0.0103,0.0232,0.0125,0.086,0.013,0.0491
"W2","HFEC",5540,0.0071,0.0184,0.0065,0.0105,0.0157,0.011,0.006,0.0329,0.0197,0.0043,0.0083,0.0036
"W2","HFEC",5541,0.0111,0.0142,0.023,0.011,0.0333,0.0144,0.0224,0.019,0.0321,0.0072,0.0077,0.0063
"W2","HFEC",5542,0.0231,0.0327,0.0145,0.0144,0.039,0.0128,0.0108,0.0352,0.0169,0.0177,0.0155,0.0185
"W2","HFEC",5543,0.0072,0.012,0.0087,0.0054,0.0119,0.0172,0.0148,0.0205,0.0163,0.0053,0.0056,0.007
"W2","HFEC",5544,0.0105,0.0097,0.0074,0.0207,0.0042,0.0065,0.0224,0.0069,0.0041,0.0025,0.0022,0.0032
"W2","HFEC",5545,0.0222,0.0143,0.0171,0.0145,0.0083,0.0363,0.0607,0.0277,0.033,0.0141,0.0523,0.0131
"W2","HFEC",5547,0.0193,0.0052,0.0194,0.0124,0.0065,0.0161,0.0104,0.0095,0.0152,0.0349,0.0141,0.0171
"W2","HFEC",5548,0.008,0.0438,0.0129,0.0042,0.0116,0.0069,0.0206,0.0111,0.0112,0.0536,0.038,0.004
"W2","HFEC",5549,0.0171,0.008,0.0156,0.0104,0.0022,0.0107,0.0143,0.0249,0.0106,0.0049,0.0244,0.0034
"W2","HFEC",5551,0.0468,0.0184,0.0304,0.0731,0.032,0.0585,0.0635,0.026,0.0718,0.0335,0.0212,0.0065
"W2","HFEC",5553,0.0148,0.0351,0.0108,0.0181,0.0251,0.0276,0.0281,0.0381,0.0157,0.068,0.0257,0.0058
"W2","HFEC",5554,0.0099,0.0256,0.0158,0.0224,0.0272,0.0362,0.0247,0.0217,0.034,0.0035,0.0093,0.005
"W2","HFEC",5555,0.0084,0.0382,0.0111,0.0264,0.0245,0.0135,0.0141,0.0189,0.0172,0.0045,0.008,0.0042
"W2","HFEC",5556,0.0067,0.0351,0.0075,0.0167,0.0142,0.007,0.0076,0.0309,0.0079,0.0433,0.0337,0.0302
"W2","UPEC",5228,0.0067,0.0115,0.0043,0.0118,0.0125,0.0052,0.0129,0.0184,0.0152,0.0041,0.0366,0.0069
"W2","UPEC",5229,0.0041,0.0068,0.0027,0.014,0.0052,0.0044,0.0162,0.0149,0.0042,-7e-04,0.0032,0.0017
"W2","UPEC",5231,0.0088,0.0091,0.0031,0.0198,0.0086,0.0054,0.013,0.0131,0.0046,0.0121,0.099,0.0195
"W2","UPEC",5232,0.01,0.012,0.007,0.0065,0.0049,0.0031,0.0189,0.0098,0.0146,-8e-04,0.0071,0.0018
"W2","UPEC",5233,0.0485,0.0124,0.0121,0.0338,0.0037,0.0104,0.082,0.0149,0.0122,0.0644,0.0205,0.017
"W2","UPEC",5235,0.047,0.0127,0.0119,0.0417,0.0118,0.0115,0.0676,0.0427,0.031,0.0073,0.0052,0.007
"W2","UPEC",5237,0.0201,0.0103,0.004,0.012,0.0104,0.0039,0.0539,0.0226,0.0072,0.0088,0.0054,0.004
"W2","UPEC",5238,0.0219,0.0094,0.0039,0.0185,0.0193,0.005,0.0336,0.0105,0.0056,0.0125,0.0284,0.0126
"W2","UPEC",5239,0.0449,0.0225,0.0047,0.038,0.0231,0.0169,0.0643,0.0143,0.0073,0.0061,0.0063,0.0067
"W2","UPEC",5240,0.0273,0.0105,0.012,0.0156,0.0127,0.0041,0.0188,0.0107,0.0082,0.0995,0.049,0.0086
"W2","UPEC",5241,0.0306,0.0396,0.0067,0.0335,0.0261,0.0138,0.0313,0.0446,0.0107,0.007,0.007,0.0195
"W2","UPEC",5242,0.0526,0.0242,0.0139,0.0624,0.0291,0.0154,0.1226,0.024,0.0119,0.0199,0.0217,0.0051
"W2","UPEC",5243,0.0133,0.0103,0.016,0.0383,0.0287,0.0179,0.014,0.0205,0.0186,0.049,0.0606,0.0461
"W2","UPEC",5245,0.0252,0.0501,0.0189,0.046,0.042,0.0094,0.0387,0.0242,0.0056,0.0066,0.0048,0.0049
"W2","UPEC",5246,0.061,0.0092,0.0149,0.0237,0.0137,0.0084,0.0438,0.0117,0.017,0.0261,0.0036,0.0059
"W2","UPEC",5247,0.064,0.0191,0.0095,0.0329,0.0329,0.0269,0.0838,0.0458,0.0347,0.0026,0.0035,0.0018
"W2","UPEC",5248,0.0419,0.0063,0.006,0.0382,0.009,0.0044,0.0674,0.0151,0.0079,0.0043,0.0037,0.0034
"W2","UPEC",5249,0.0667,0.0291,0.0284,0.0038,0.0379,0.0098,0.044,0.0114,0.0218,0.0134,0.0361,0.0502
"W2","UPEC",5250,0.0126,0.0064,0.0098,0.0151,0.0056,0.0057,0.0089,0.0052,0.0166,0.0394,0.0024,0.005
"W2","UPEC",5253,0.0282,0.011,0.031,0.0163,0.0146,0.019,0.0639,0.0102,0.0123,0.0494,0.0165,0.0119
"W2","UPEC",5254,0.0508,0.0201,0.0376,0.0128,0.0227,0.0161,0.0469,0.0158,0.0262,0.0531,0.0278,0.0207
"W2","UPEC",5255,0.0374,0.011,0.0115,0.0387,0.0199,0.0322,0.0285,0.0206,0.034,0.0081,0.0054,0.0046
"W2","UPEC",5256,0.025,0.0042,0.0077,0.0178,0.0071,0.0094,0.018,0.0083,0.0192,0.0015,0.0117,0.0117
"W2","UPEC",5257,0.0092,0.0055,0.0097,0.0184,0.0072,0.0063,0.0121,0.0043,0.007,0.0144,0.0074,0.0081
"W2","ETEC",5200,0.0099,0.0122,0.0053,0.0187,0.0061,0.0027,0.017,0.0059,0.0161,0.0018,0.0053,0.0118
"W2","ETEC",5201,0.0034,0.0037,0.0033,0.0041,0.0065,0.0028,0.0116,0.0078,0.0054,0.0075,0.0322,0.0284
"W2","ETEC",5202,0.007,0.0055,0.0047,0.0075,0.0056,0.0035,0.0293,0.0077,0.0056,6e-04,0.0025,0.0016
"W2","ETEC",5203,9e-04,0.0058,0.0037,0.0086,0.0028,0.0193,0.0321,0.0081,0.0212,-7e-04,0.0063,0.0024
"W2","ETEC",5204,0.0094,0.0131,0.0044,0.0068,0.0086,0.0032,0.0139,0.0115,0.0061,0.0115,0.0116,0.0525
"W2","ETEC",5205,0.0053,0.0189,0.0075,0.0113,0.0078,0.0092,0.0071,0.0091,0.0117,0.0142,0.0138,0.0246
"W2","ETEC",5206,0.0027,0.0043,0.0012,0.0048,0.0064,0.0035,0.0085,0.011,0.0105,0.0019,0.0021,0.0013
"W2","ETEC",5286,0.0066,0.0026,0.002,0.0032,0.0064,0.0036,0.0149,0.0065,0.0067,0.0018,0.0106,0.0023
"W2","ETEC",5287,0.0049,0.0124,0.0036,0.0021,0.0067,0.0046,0.0027,0.0151,0.0167,2e-04,0.0052,0.0066
"W2","ETEC",5288,0.02,0.0203,0.0056,0.0364,0.0091,0.0083,0.0357,0.0118,0.0209,0.0177,0.0246,0.0104
"W2","ETEC",5637,0.0293,0.0078,0.0057,0.0131,0.0082,0.0136,0.0156,0.0107,0.0149,0.0157,0.0186,0.0256
"W2","ETEC",5638,0.0137,0.0044,0.0023,0.0357,0.0044,0.0017,0.043,0.0061,0.0022,0.0101,0.0051,0.0021
"W2","ETEC",5640,0.0153,0.0072,0.0037,0.0321,0.0051,0.0058,0.0098,0.019,0.0103,0.0302,0.0121,0.0636
"W2","ETEC",5641,0.0018,0.0163,0.0063,0.0163,0.0074,0.0069,0.0968,0.0119,0.0045,0.0016,0.0057,0.0034
"W2","ETEC",5642,0.0095,0.0035,0.0046,0.0036,0.0061,0.0023,0.0303,0.004,0.0053,0.0099,0.0046,0.0038
"W2","ETEC",5680,0.0294,0.0059,0.0084,0.0285,0.0121,0.0057,0.0589,0.0134,0.0125,0.0429,0.0233,0.0085
"W2","ETEC",5682,0.016,0.0103,0.0021,0.036,0.01,0.0043,0.0351,0.0299,0.0093,0.0044,0.0046,0.0072
"W2","ETEC",5686,0.0082,0.0188,0.0059,0.0151,0.0135,0.0041,0.0252,0.0398,0.0139,0.0052,0.0098,0.0356
"W2","ETEC",5687,0.0023,0.0121,0.0057,0.0017,0.0067,0.0038,0.019,0.0221,0.0065,0.0018,0.0024,0.004
"W2","ETEC",5688,0.0128,0.0112,0.0086,0.0221,0.012,0.015,0.026,0.0197,0.003,0.0019,0.011,0.0012
"W2","ETEC",5689,0.012,0.0074,0.0035,0.0181,0.0133,0.005,0.011,0.012,0.0046,0.0036,0.0052,0.0065
"W2","ETEC",5690,0.0319,0.0135,0.0034,0.0217,0.0138,0.0066,0.0338,0.008,0.0047,0.0022,0.0046,0.0078
"W2","ETEC",5691,0.0173,0.0065,0.0026,0.0152,0.0066,0.0046,0.0245,0.0185,0.0037,0.0339,0.0043,0.0202
"W2","ETEC",5692,0.0061,0.0075,0.002,0.0116,0.0047,0.0017,0.0145,0.0164,0.0094,0.0013,0.0026,0.0031
"W2","EPEC",5207,0.0106,0.0116,0.0026,0.0088,0.0123,0.0254,0.0542,0.0123,0.0114,0.0939,0.1182,0.0122
"W2","EPEC",5208,0.0045,0.0034,0.0023,0.0086,0.0097,0.0029,0.0102,0.0094,0.0067,0,0.1451,0.0115
"W2","EPEC",5209,0.0096,0.0043,0.0035,0.005,0.0025,0.0039,0.01,0.0067,0.0043,0.1919,0.1814,0.0148
"W2","EPEC",5210,0.0136,0.0076,0.0056,0.0116,0.0044,0.0033,0.0154,0.0127,0.0055,-2e-04,0.0018,0.0063
"W2","EPEC",5211,0.0087,0.0173,0.0091,0.026,0.0083,0.0085,0.0085,0.0192,0.0046,0.011,0.0286,0.0029
"W2","EPEC",5212,0.0303,0.039,0.0089,0.0503,0.0302,0.0142,0.0222,0.0382,0.0177,0.0445,0.0209,0.0113
"W2","EPEC",5263,0.0105,0.0138,0.0037,0.0101,0.0124,0.003,0.0067,0.012,0.0063,0.0043,0.0036,0.0029
"W2","EPEC",5267,0.0084,0.0092,0.0016,0.0243,0.0158,0.0039,0.0093,0.0112,0.0061,0.0048,0.0039,0.0018
"W2","EPEC",5268,0.01,0.015,0.0027,0.0034,0.0069,0.0024,0.015,0.0094,0.004,0.0138,0.0166,0.0139
"W2","EPEC",5281,0.0071,0.0141,0.0067,0.0173,0.0101,0.0051,0.0145,0.0201,0.0064,0.0141,0.0217,0.0072
"W2","EPEC",5282,0.0185,0.0059,0.0012,0.0117,0.0102,0.003,0.0119,0.0119,0.0098,0.0235,0.0353,0.0088
"W2","EPEC",5285,0.008,0.0085,0.0057,0.0107,0.0073,0.0022,0.0145,0.0089,0.0048,0.0135,0.0142,0.0146
"W2","EPEC",5289,0.0027,0.0119,0.0028,0.0075,0.0087,0.0032,0.0052,0.0056,0.0052,0.0028,0.0844,0.0347
"W2","EPEC",5291,0.0491,0.0231,0.0048,0.0167,0.0097,0.0067,0.022,0.0112,0.0062,0.0186,0.0541,0.002
"W2","EPEC",5292,0.005,0.0118,0.0067,0.0105,0.0078,0.0038,0.0114,0.0065,0.0027,0.0192,0.0293,0.0171
"W2","EPEC",5631,0.0017,0.0054,0.0015,0.0084,0.0036,0.004,0.0096,0.0071,0.0036,0.0067,0.0096,0.0244
"W2","EPEC",5632,0.0103,0.0308,0.0204,0.0451,0.039,0.035,0.0199,0.0066,0.0027,0.0237,0.0084,0.015
"W2","EPEC",5633,0.0031,0.0117,0.0026,0.0129,0.0098,0.002,0.0127,0.0074,0.0052,0.0011,0.019,0.0036
"W2","EPEC",5651,0.0016,0.0094,0.0035,0.0014,0.0049,0.004,0.0269,0.0205,0.0041,0.0134,0.0068,0.0021
"W2","EPEC",5652,0.0106,0.0038,0.003,0.0059,0.0086,0.0014,0.0065,0.012,0.0029,0.0037,0.0029,0.001
"W2","EPEC",5653,0.0087,0.0165,0.0072,0.0053,0.007,0.0043,0.0051,0.0145,0.0085,0.0034,0.0108,0.0079
"W2","EPEC",5654,0.0081,0.0058,0.0035,0.0132,0.0095,0.0068,0.0083,0.0073,0.0065,0.0081,0.0043,0.002
"W2","EPEC",5655,0.0033,0.0022,0.0014,0.0046,0.0074,0.0037,0.0108,0.0105,0.0021,0.0066,0.0238,0.0221
"W2","EPEC",5656,0.0046,0.0034,0.0024,0.004,0.0033,0.0019,0.01,0.0092,0.0036,0.0032,0.0013,0.0019
"W2","EAEC",5213,0.0448,0.0193,0.0174,0.0418,0.0211,0.0168,0.0421,0.0259,0.0244,0.003,0.0053,0.0023
"W2","EAEC",5214,0.0643,0.0438,0.0379,0.052,0.0424,0.0141,0.0946,0.0709,0.1226,0.0071,0.0078,0.0023
"W2","EAEC",5215,0.0232,0.0199,0.0042,0.0762,0.015,0.0036,0.0642,0.028,0.0102,0.0019,0.0131,0.002
"W2","EAEC",5216,0.0155,0.005,0.006,0.0387,0.0046,0.0065,0.0592,0.0155,0.0081,0.0076,0.004,0.005
"W2","EAEC",5260,0.0737,0.0532,0.0214,0.0461,0.0509,0.0394,0.0446,0.0273,0.0081,0.0014,0.0048,0.0024
"W2","EAEC",5264,0.035,0.0168,0.0228,0.0591,0.022,0.0786,0.1349,0.0283,0.0194,0.0145,0.0187,0.0112
"W2","EAEC",5265,0.0259,0.0209,0.0082,0.0643,0.0262,0.0141,0.0743,0.0502,0.0339,0.0535,0.0566,0.004
"W2","EAEC",5266,0.0339,0.0147,0.0243,0.0767,0.017,0.0127,0.0872,0.2602,0.0601,0.0089,0.0152,0.0037
"W2","EAEC",5269,0.0164,0.0135,0.024,0.0187,0.0057,0.0151,0.0748,0.0356,0.0466,0.0033,0.0019,0.0026
"W2","EAEC",5270,0.0918,0.0158,0.0211,0.0999,0.0372,0.0123,0.0479,0.0144,0.0108,0.0407,0.0182,0.0047
"W2","EAEC",5271,0.1042,0.0408,0.0029,0.1146,0.0515,0.0076,0.0808,0.0189,0.01,0.0097,0.0114,0.0097
"W2","EAEC",5272,0.1317,0.0458,0.0272,0.1139,0.0202,0.052,0.0411,0.0253,0.0224,0.0122,0.0033,0.0025
"W2","EAEC",5275,0.0573,0.0104,0.005,0.0469,0.0305,0.0066,0.0371,0.0119,0.0095,0.0062,0.0166,0.0023
"W2","EAEC",5276,0.0313,0.0091,0.0031,0.0662,0.0201,0.0393,0.0498,0.0241,0.0176,0.0039,0.0015,0.0033
"W2","EAEC",5277,0.0912,0.0261,0.036,0.0731,0.0194,0.0165,0.0926,0.0825,0.0362,0.0122,0.0068,0.0028
"W2","EAEC",5278,0.0303,0.0149,0.0181,0.1188,0.0426,0.0144,0.0599,0.0573,0.0423,0.0102,0.0079,0.0034
"W2","EAEC",5279,0.0552,0.0371,0.0252,0.0651,0.0371,0.0197,0.153,0.2247,0.0202,0.0174,0.0051,0.0034
"W2","EAEC",5280,0.0035,0.0618,0.064,0.0937,0.0696,0.0289,0.0508,0.1376,0.0225,0.0058,0.0025,0.0038
"W2","EAEC",5634,0.0437,0.0181,0.0017,0.0612,0.0053,0.0054,0.0867,0.0229,0.0057,0.0056,0.0074,0.0048
"W2","EAEC",5635,0.0169,0.0279,0.0039,0.0174,0.0131,0.0018,0.0225,0.0317,0.0046,0.0153,0.0096,0.0065
"W2","EAEC",5636,0.0191,0.0174,0.0213,0.0331,0.06,0.0086,0.0384,0.0568,0.005,0.0148,0.0073,0.0014
"W2","EAEC",5639,0.0684,0.0904,0.0318,0.1453,0.1408,0.0186,0.0277,0.0351,0.0091,0.0262,0.0084,0.0132
"W2","EAEC",5643,0.0203,0.0225,0.0041,0.0312,0.0173,0.0079,0.055,0.0288,0.0104,0.0555,0.034,0.0692
"W2","EAEC",5644,0.0381,0.0594,0.0235,0.0247,0.032,0.015,0.0509,0.1457,0.039,0.0053,0.0176,0.004
"W2","SAEC",5147,0.0035,0.0034,0.0038,0.004,0.0055,0.003,0.0047,0.0073,0.0075,0.0011,0.0014,0.0014
"W2","SAEC",5148,0.023,0.0297,0.0069,0.0189,0.0127,0.0055,0.0159,0.0453,0.005,0.0215,0.0621,0.0066
"W2","SAEC",5149,0.0024,0.0039,0.0029,0.0025,0.0037,0.003,0.0067,0.0027,0.0063,0.002,0.005,9e-04
"W2","SAEC",5150,0.0108,0.0484,0.0281,0.0089,0.017,0.0236,0.0116,0.025,0.0197,0.0195,0.0082,0.0035
"W2","SAEC",5151,0.0172,0.0107,0.0032,0.0071,0.0152,0.008,0.0087,0.0096,0.0121,0.0123,0.0065,0.0037
"W2","SAEC",5152,0.0069,0.004,0.0013,0.0033,0.0044,0.0016,0.0111,0.0125,0.0031,0.0345,0.0274,0.0063
"W2","SAEC",5153,0.0446,0.0435,0.0196,0.0433,0.023,0.0207,0.0265,0.0485,0.0129,0.0216,0.0199,0.0025
"W2","SAEC",5155,0.0245,0.0243,0.0113,0.0276,0.0314,0.0221,0.0126,0.0241,0.0109,0.0078,0.0077,0.0028
"W2","SAEC",5156,0.009,0.034,0.0043,0.0341,0.0459,0.0083,0.0095,0.0266,0.0072,0.0304,0.0047,0.0128
"W2","SAEC",5157,0.0244,0.0128,0.0079,0.009,0.0056,0.0074,0.0324,0.0215,0.0042,0.01,0.019,0.003
"W2","SAEC",5158,0.0118,0.0428,0.0194,0.0347,0.0476,0.0102,0.0323,0.0364,0.0164,0.0172,0.0112,0.0044
"W2","SAEC",5159,0.0117,0.0148,0.004,0.0137,0.0056,0.0115,0.0103,0.0191,0.0076,0.0184,0.0445,0.0124
"W2","SAEC",5160,0.0413,0.0295,0.0194,0.0319,0.037,0.0243,0.0536,0.0149,0.0144,0.0098,0.0136,0.0137
"W2","SAEC",5161,0.0198,0.0257,0.0244,0.0242,0.0207,0.0164,0.0426,0.0238,0.0134,0.0052,0.0385,0.0029
"W2","SAEC",5162,0.0039,0.0126,0.0226,0.024,0.0168,0.0154,0.0391,0.0126,0.0141,0.0118,0.0212,0.0032
"W2","SAEC",5163,0.0455,0.0473,0.02,0.0087,0.0204,0.0122,0.0426,0.0228,0.0188,0.009,0.0054,0.0081
"W2","SAEC",5164,0.0183,0.0238,0.0081,0.0261,0.0423,0.0059,0.0176,0.0518,0.0064,0.0143,0.0107,0.0071
"W2","SAEC",5165,0.0127,0.0109,0.004,0.0072,0.0099,0.0083,0.0139,0.0191,0.0073,0.0983,0.0319,0.0252
"W2","SAEC",5166,0.018,0.0213,0.0047,0.0065,0.0149,0.0087,0.016,0.0251,0.0107,0.0749,0.0105,0.0193
"W2","SAEC",5167,0.0308,0.0163,0.0253,0.0178,0.0493,0.0097,0.0379,0.0234,0.0182,0.0095,0.0238,0.0051
"W2","SAEC",5168,0.0276,0.0361,0.0174,0.0349,0.0145,0.009,0.0588,0.0306,0.0095,0.016,0.0253,0.0025
"W2","SAEC",5169,0.0192,0.0228,0.0049,0.004,0.0074,0.0027,0.0107,0.0225,0.0091,0.0012,0.0017,0.0019
"W2","SAEC",5170,0.0097,0.007,0.0028,0.0041,0.0064,0.0042,0.0118,0.0092,0.0108,0.0179,0.0148,0.0131
"W2","SAEC",5171,0.0158,0.0077,0.0025,0.0121,0.0092,0.0048,0.0168,0.0746,0.0058,0.003,0.0362,0.0029
"W2","CAEC",5180,0.0106,0.0171,0.0042,0.0084,0.0224,0.0034,0.0217,0.0234,0.003,0.0519,0.0051,0.0036
"W2","CAEC",5181,0.0061,0.0067,0.0011,0.0049,0.0085,0.0018,0.0037,0.0029,0.0028,0.0181,0.0103,0.0025
"W2","CAEC",5182,0.0467,0.0179,0.0097,0.0073,0.0117,0.0072,0.0207,0.0184,0.0058,0.092,0.0069,0.0029
"W2","CAEC",5183,0.0244,0.0247,0.0063,0.0097,0.0048,0.0052,0.0432,0.0145,0.0045,0.0199,0.0025,0.0024
"W2","CAEC",5184,0.008,0.0043,0.0023,0.0099,0.0029,0.0033,0.0102,0.0046,0.0029,0.0042,0.0021,0.0028
"W2","CAEC",5185,0.0186,0.0315,0.0025,0.0188,0.0106,0.003,0.0673,0.0149,0.0066,0.0085,0.0037,0.0014
"W2","CAEC",5186,0.0071,0.0075,0.0012,0.0078,0.004,0.0027,0.0216,0.01,0.0069,0.0461,0.0629,9e-04
"W2","CAEC",5187,0.0203,0.0149,0.0038,0.0139,0.0253,0.007,0.0287,0.0119,0.005,0.002,0.0034,0.0011
"W2","CAEC",5188,0.0113,0.009,0.0011,0.0053,0.0035,0.0018,0.036,0.0118,0.0032,0.0561,0.0394,0.0018
"W2","CAEC",5189,0.0065,0.0171,0.0011,0.0156,0.0043,0.0021,0.0172,0.0078,0.002,0.007,0.0081,0.0015
"W2","CAEC",5190,0.037,0.0313,0.0062,0.0508,0.0358,0.0139,0.0544,0.0403,0.0107,0.0069,0.01,9e-04
"W2","CAEC",5191,0.0426,0.02,0.0072,0.0115,0.0116,0.0021,0.0375,0.015,0.0072,0.0061,0.0084,0.0018
"W2","CAEC",5192,0.0137,0.0116,0.0019,0.0159,0.0175,0.0068,0.0384,0.0265,0.0055,0.0042,0.0042,0.0017
"W2","CAEC",5193,0.0508,0.0601,0.0168,0.0254,0.0149,0.0146,0.0428,0.0199,0.0019,0.0133,0.0048,7e-04
"W2","CAEC",5194,0.0198,0.0069,0.0015,0.0029,0.0045,0.0038,0.0073,0.0132,0.0032,0.0012,0.008,7e-04
"W2","CAEC",5195,0.0208,0.0111,0.0035,0.0304,0.0164,0.0036,0.0237,0.0159,0.0025,0.0076,0.0087,0.0072
"W2","CAEC",5196,0.0125,0.0153,0.004,0.0134,0.0099,0.0039,0.0208,0.0185,0.0057,0.014,0.0091,0.0018
"W2","CAEC",5198,0.0223,0.043,0.0077,0.016,0.0311,0.0067,0.0388,0.0612,0.0143,0.0813,0.0444,0.006
"W2","CAEC",5199,0.0146,0.0259,0.0029,0.0107,0.0104,0.0022,0.0167,0.011,0.0022,0.0704,0.0566,0.0145
"W2","AFEC",5559,0.0399,0.0253,0.0108,0.0411,0.027,0.0053,0.0209,0.034,0.0068,0.0883,0.0063,0.0016
"W2","AFEC",5560,0.0114,0.0091,0.0022,0.0055,0.0103,0.0038,0.0128,0.0132,0.0021,0.0053,0.0015,0.0018
"W2","AFEC",5561,0.0069,0.008,0.0034,0.0139,0.0104,0.0043,0.0074,0.0072,0.0059,0.0043,0.0017,0.0011
"W2","AFEC",5562,0.0242,0.0153,0.0051,0.0071,0.0153,0.0022,0.009,0.0104,0.0045,0.0042,0.0087,0.0027
"W2","AFEC",5563,0.0152,0.0348,0.0108,0.04,0.1235,0.0271,0.0381,0.0221,0.0219,0.0361,0.0091,0.0036
"W2","AFEC",5564,0.0094,0.0262,0.0052,0.0078,0.0186,0.003,0.0162,0.016,0.0045,0.0095,0.0097,0.0035
"W2","AFEC",5565,0.0068,0.0216,0.0033,0.0091,0.0197,0.0058,0.0191,0.0169,0.0041,0.0094,0.0081,0.003
"W2","AFEC",5566,0.0142,0.0203,0.0122,0.0114,0.0165,0.0283,0.0072,0.0236,0.0065,0.0057,0.083,0.0285
"W2","AFEC",5567,0.0041,0.0142,0.0029,0.0068,0.0146,0.0116,0.0119,0.0409,0.0063,0.0039,0.0026,0.0019
"W2","AFEC",5568,0.0077,0.004,0.0019,0.0037,0.0041,0.0027,0.0158,0.0051,0.0024,0.0054,0.0134,0.0029
"W2","AFEC",5569,0.0261,0.0216,0.0167,0.0201,0.0239,0.0093,0.032,0.0445,0.0185,0.0115,0.0122,0.011
"W2","AFEC",5570,0.0109,0.0352,0.0062,0.0186,0.1015,0.0094,0.0148,0.0393,0.0113,0.0237,0.0753,0.0114
"W2","AFEC",5571,0.0041,0.0109,0.0029,0.0046,0.0112,0.0059,0.0087,0.0228,0.0034,0.0044,0.002,0.0012
"W2","AFEC",5572,0.0226,0.0137,0.0194,0.0269,0.0255,0.0052,0.0361,0.0418,0.0167,0.006,0.0177,0.0019
"W2","AFEC",5573,0.0289,0.0151,0.009,0.0115,0.039,0.008,0.0174,0.0104,0.0125,0.0714,0.0265,0.0029
"W2","AFEC",5574,0.0128,0.0184,0.0097,0.0051,0.0139,0.0041,0.013,0.0223,0.0138,0.0055,0.0027,0.0034
"W2","AFEC",5575,0.0044,0.0093,0.0018,0.0022,0.0057,0.0052,0.0223,0.0177,0.0076,0.0039,0.0031,0.0026
"W2","AFEC",5576,0.0034,0.0167,0.0065,0.0055,0.0249,0.0086,0.0097,0.0447,0.0348,0.009,0.0098,0.007
"W2","AFEC",5577,0.0261,0.0249,0.0127,0.0095,0.0108,0.0064,0.0281,0.0159,0.0118,0.0102,0.0177,0.023
"W2","AFEC",5578,0.0202,0.0049,0.0035,0.0126,0.0035,0.002,0.0063,0.0107,0.0041,0.0144,0.0112,0.0068
"W2","AFEC",5579,0.0503,0.0142,0.0097,0.0483,0.0481,0.0246,0.0532,0.0326,0.0179,0.0329,0.0219,0.015
"W2","AFEC",5580,0.0152,0.0827,0.0018,0.0128,0.0278,0.0064,0.0316,0.099,0.0122,0.0052,0.007,0.0083
"W2","AFEC",5581,0.0089,0.0138,0.0029,0.0106,0.0148,0.0065,0.0117,0.0372,0.005,0.0126,0.0202,0.0013
"W2","AFEC",5582,0.0149,0.0139,0.0075,0.0108,0.005,0.004,0.0198,0.0092,0.009,0.0127,0.0246,0.0021
"W3","HFEC",5527,0.0119,0.0232,0.0157,0.0156,0.0309,0.0135,0.0198,0.0243,0.0408,0.0262,0.1002,0.0354
"W3","HFEC",5528,0.0108,0.0228,0.0083,0.0117,0.0427,0.0226,0.0146,0.0808,0.0183,0.0096,0.1507,0.0194
"W3","HFEC",5529,0.0133,0.0198,0.0121,0.0203,0.0131,0.0085,0.0157,0.0235,0.0267,0.0342,0.1052,0.2264
"W3","HFEC",5531,0.0283,0.086,0.0246,0.0204,0.0407,0.0711,0.0642,0.0677,0.0521,0.0082,0.0218,0.0077
"W3","HFEC",5532,0.087,0.056,0.1462,0.0775,0.0243,0.106,0.0908,0.1572,0.414,0.026,0.0505,0.014
"W3","HFEC",5535,0.0056,0.0404,0.0259,0.0273,0.1182,0.05,0.0443,0.177,0.032,0.0132,0.0079,0.0102
"W3","HFEC",5536,0.0079,0.0689,0.0374,0.0308,0.0381,0.054,0.0274,0.0568,0.0911,0.0087,0.1105,0.0973
"W3","HFEC",5537,0.0226,0.031,0.028,0.0265,0.0424,0.1176,0.0409,0.0331,0.088,0.0283,0.0686,0.0482
"W3","HFEC",5538,0.0211,0.148,0.0274,0.0198,0.037,0.0253,0.0157,0.0756,0.0385,0.0102,0.0081,0.0109
"W3","HFEC",5539,0.0252,0.0332,0.0631,0.0281,0.137,0.0383,0.0388,0.0789,0.0208,0.1935,0.0282,0.1062
"W3","HFEC",5540,0.0173,0.0583,0.0235,0.0189,0.0238,0.0356,0.0268,0.0478,0.0519,0.013,0.0153,0.0143
"W3","HFEC",5541,0.0249,0.0646,0.0657,0.0694,0.0815,0.0402,0.0473,0.0477,0.0608,0.0073,0.0159,0.0171
"W3","HFEC",5542,0.0369,0.0824,0.0269,0.0168,0.1056,0.0459,0.0428,0.0948,0.0197,0.0387,0.0194,0.0335
